"Censo_93","Censo_07","Censo_17","Censo_22","provincia"
95092,96064,114722,121501,"Abancay"
42096,63792,40324,34179,"Acobamba"
28906,27357,24678,23732,"Acomayo"
8657,7995,6639,6170,"Aija"
113904,154238,193813,216058,"Alto Amazonas"
55942,55483,53871,52348,"Ambo"
128390,143846,149267,151731,"Andahuaylas"
43060,55704,52227,51904,"Angaraes"
56424,54828,61353,64097,"Anta"
12462,12267,11861,11429,"Antabamba"
18912,17059,14360,13404,"Antonio Raymondi"
676790,864250,1137087,1226404,"Arequipa"
108976,116229,119672,124944,"Ascope"
9846,9054,7873,7457,"Asunción"
28290,43933,57591,63844,"Atalaya"
131310,138403,127735,126550,"Ayabaca"
28886,29569,25514,23276,"Aymaraes"
138998,136829,115672,109293,"Azángaro"
69482,71757,82193,85835,"Bagua"
114051,133904,155387,155025,"Barranca"
34414,49293,58370,62564,"Bellavista"
28029,30725,24940,22902,"Bolognesi"
16814,16650,15811,15913,"Bolívar"
20459,27465,27085,26449,"Bongará"
69236,74287,80630,83747,"Cajabamba"
230049,316152,369594,392571,"Cajamarca"
9475,8358,7069,6152,"Cajatambo"
56007,65407,70302,72114,"Calca"
639729,876877,1046953,1171648,"Callao"
42403,53065,61616,63098,"Camaná"
39476,38293,35486,34487,"Canas"
94962,96937,104527,107333,"Canchis"
9238,8373,6450,6062,"Candarave"
33833,34902,32812,31822,"Cangallo"
10996,13513,12608,11449,"Canta"
46777,73946,77055,79766,"Carabaya"
27484,35928,43243,44803,"Caravelí"
39721,43902,48072,50669,"Carhuaz"
21026,21322,18816,17925,"Carlos Fermin Fitzcarrald"
35380,42368,53115,59605,"Casma"
36864,38425,36561,34389,"Castilla"
19738,19500,14891,13833,"Castrovirreyna"
45236,73718,94776,101277,"Caylloma"
152378,200662,252253,261008,"Cañete"
82436,88508,84223,82965,"Celendín"
45058,49700,60419,64058,"Chachapoyas"
114045,168949,166080,166583,"Chanchamayo"
59167,75980,82571,88152,"Chepén"
617881,757452,825246,876841,"Chiclayo"
150264,194315,240884,273463,"Chincha"
48481,51583,47522,45494,"Chincheros"
164144,160447,152383,150552,"Chota"
93001,126259,94023,85265,"Chucuíto"
69669,75585,71265,69763,"Chumbivilcas"
47843,51878,55863,58371,"Chupaca"
44488,44903,34549,32173,"Churcampa"
64785,60121,58833,58774,"Concepción"
20695,18991,17450,16167,"Condesuyos"
30520,43311,49800,52082,"Condorcanqui"
13361,16914,21906,25361,"Contralmirante Villar"
32698,31369,29532,28964,"Contumazá"
248449,333890,418055,466369,"Coronel Portillo"
8917,8329,7974,7906,"Corongo"
42008,45771,52978,55526,"Cotabambas"
270324,367791,478494,528541,"Cusco"
143795,138213,125833,122594,"Cutervo"
36098,47803,46287,45421,"Daniel Alcides Carrión"
39806,47008,35149,30239,"Dos de Mayo"
75456,81059,68402,64354,"El Collao"
23409,33638,40917,44342,"El Dorado"
56591,62698,62196,62140,"Espinar"
92377,96142,103009,108438,"Ferreñafe"
19327,24904,16012,13614,"General Sánchez Cerro"
29187,30399,28162,28168,"Gran Chimú"
26678,25090,22395,20763,"Grau"
17719,20408,17188,15644,"Huacaybamba"
75806,89813,84479,82766,"Hualgayoc"
22236,24448,28871,30906,"Huallaga"
56119,66450,54968,49585,"Huamalíes"
163197,221390,294960,324901,"Huamanga"
10213,10620,8728,8113,"Huanca Sancos"
117459,124298,117747,117899,"Huancabamba"
80317,69522,60379,57406,"Huancane"
